Date,Time,NOx(GT),PT08.S3(NOx),Temperature (C),Relative Humidity,Absolute Humidity,Datetime
2004-03-10,18:00:00,0.11103588354773189,0.3108852181279119,0.3333333333333333,0.49937106918239,0.2800664614181694,2004-03-10 18:00:00
2004-03-10,19:00:00,0.06838185511171294,0.36086404066073696,0.32688172043010755,0.48427672955974843,0.26428187460294195,2004-03-10 19:00:00
2004-03-10,20:00:00,0.08733920108327692,0.34646336298178737,0.29677419354838713,0.5635220125786163,0.27635244099105705,2004-03-10 20:00:00
2004-03-10,21:00:00,0.11509817197020988,0.3261329944938585,0.27741935483870966,0.6389937106918239,0.2941895127791624,2004-03-10 21:00:00
2004-03-10,22:00:00,0.08733920108327692,0.373994070309191,0.2817204301075269,0.6339622641509435,0.2952157552656013,2004-03-10 22:00:00
2004-03-10,23:00:00,0.05890318212593094,0.4299025836509953,0.2817204301075269,0.6289308176100629,0.29326100767238433,2004-03-10 23:00:00
2004-03-11,00:00:00,0.040622884224779957,0.48284625158831,0.2838709677419355,0.5987421383647799,0.28128817866393,2004-03-11 00:00:00
2004-03-11,01:00:00,0.040622884224779957,0.47903430749682335,0.27096774193548384,0.6389937106918239,0.28612617895714215,2004-03-11 01:00:00
2004-03-11,02:00:00,0.02911306702775897,0.5324015247776366,0.27096774193548384,0.6352201257861635,0.2834872697062992,2004-03-11 02:00:00
2004-03-11,03:00:00,0.07621998854226343,0.5857687420584498,0.2623655913978495,0.6415094339622641,0.27708547133851347,2004-03-11 03:00:00
2004-03-11,04:00:00,0.012863913337846988,0.6336298178737823,0.25806451612903225,0.6452830188679245,0.27454429946733133,2004-03-11 04:00:00
2004-03-11,05:00:00,0.009478672985781991,0.6759847522236341,0.27741935483870966,0.5911949685534591,0.26970629917411915,2004-03-11 05:00:00
2004-03-11,06:00:00,0.021665538253215978,0.5997458703939009,0.26666666666666666,0.6150943396226416,0.26907100620632357,2004-03-11 06:00:00
2004-03-11,07:00:00,0.06499661475964794,0.49470563320626854,0.26021505376344084,0.6339622641509435,0.2721986023554709,2004-03-11 07:00:00
2004-03-11,08:00:00,0.11645226811103589,0.3447691656077933,0.2731182795698925,0.6062893081761007,0.27175878414699706,2004-03-11 08:00:00
2004-03-11,09:00:00,0.08598510494245092,0.3206268530283778,0.26666666666666666,0.6465408805031447,0.2855886233690075,2004-03-11 09:00:00
2004-03-11,10:00:00,0.07447528774542993,0.37950021177467175,0.2731182795698925,0.618867924528302,0.27879587548257834,2004-03-11 10:00:00
2004-03-11,11:00:00,0.06296547054840894,0.4260906395595087,0.26666666666666666,0.6125786163522013,0.2690221375164932,2004-03-11 11:00:00
2004-03-11,12:00:00,0.06905890318212593,0.4146548072850487,0.24516129032258066,0.7245283018867924,0.29829448272491815,2004-03-11 12:00:00
2004-03-11,13:00:00,0.0974949221394719,0.35578144853875476,0.21935483870967745,0.8452830188679246,0.31989444362996633,2004-03-11 13:00:00
2004-03-11,14:00:00,0.13879485443466485,0.27996611605252014,0.21290322580645163,0.9044025157232704,0.3366564042418023,2004-03-11 14:00:00
2004-03-11,15:00:00,0.12322274881516587,0.3218975010588734,0.21935483870967745,0.8880503144654087,0.3387088892146802,2004-03-11 15:00:00
2004-03-11,16:00:00,0.12931618144888288,0.33079203727234224,0.24946236559139784,0.779874213836478,0.3284953330401212,2004-03-11 16:00:00
2004-03-11,17:00:00,0.16316858496953285,0.29055484963998307,0.2516129032258065,0.7345911949685534,0.30972975614523773,2004-03-11 17:00:00
2004-03-11,18:00:00,0.1888964116452268,0.2020330368487929,0.2623655913978495,0.6918238993710691,0.3038655133655867,2004-03-11 18:00:00
2004-03-11,19:00:00,0.25795531482735273,0.1609487505294367,0.24946236559139784,0.7559748427672955,0.3162781605825148,2004-03-11 19:00:00
